"address",latitude,longitude
"Hautklinik ZMBE-Flügel, Von-Esmarch-Straße 56, 48149 Münster",51.96659,7.59123
"Heeremanscher Hof, Königsstraße 47, 48143 Münster",51.95925,7.62549
"Hittorfstr. 17, Hittorfstraße 17, 48149 Münster",51.96218,7.60497
"Humangenetik, Vesaliusweg 12-14, 48149 Münster",51.957011,7.603236
"Hygiene, Robert-Koch-Straße 41, 48149 Münster",51.958931,7.605687
"Hörsaalgebäude Schlossplatz, Schlossplatz 46, 48143 Münster",51.962544,7.6179
"Hüfferstr. 1, Hüfferstraße 1, 48149 Münster",51.96162,7.61367
"ICB  Chemo- u. Biosensorik, Mendelstraße 7, 48149 Münster",51.969891,7.596001
"IG 1, Wilhelm-Klemm-Straße 10, 48149 Münster",51.966814,7.598253
"Institut für Raumplanung, Wilmergasse 12/13, 48143 Münster",51.96216,7.61917
"Johannisstraße 1-4, Johannisstraße 1-4, 48143 Münster",51.960973,7.622568
"Juridicum, Universitätsstraße 14-16, 48143 Münster",51.96179,7.61974
"Katholische Theologie, Johannisstraße 8, 48143 Münster",51.961578,7.622392
"Katholisches Pfarrhaus, Waldeyerstraße 12-14, 48149 Münster",51.95947,7.59941
"Kavaliershaus Nord (Musik), Schlossplatz 6, 48149 Münster",51.963812,7.61595
"Kernphysik/Theor. Physik 1, Wilhelm-Klemm-Straße 9, 48149 Münster",51.96643,7.59878
"Kinder- und Jugendpsychiatrie, Schmeddingstraße 50, 48149 Münster",51.95819,7.59094
"Kinderdialysezentrum, Waldeyerstraße 22, 48149 Münster",51.959673,7.598321
"Kinderpsychosomatik, Domagkstraße 3B, 48149 Münster",51.960669,7.601265
"Kindertagesstätte (KITA), Schmeddingstraße 54, 48149 Münster",51.958745,7.592124
"Kindertagesstätte (Neubau), Schmeddingstraße 70, 48149 Münster",51.958037,7.589927
"Knochenmarktransplantation (KMT), Domagkstraße 9A, 48149 Münster",51.961427,7.60081
"Krameramtshaus, Alter Steinweg 6/7, 48143 Münster",51.962963,7.629718
"Krankenpflegeschule, Schmeddingstraße 56, 48149 Münster",51.95921,7.59067
"Krummer Timpen 57, Krummer Timpen 57, 48143 Münster",51.962487,7.6195
"Königsstraße 46, Königsstraße 46, 48143 Münster",51.95862,7.62545
"Landhaus Rothenberge, Rothenberger Straße , 48493 Wettringen",52.211141,7.307873
"Lebensmittelchemie, Corrensstraße 45, 48149 Münster",51.96848,7.597608
"Lehrgebäude (LG), Albert-Schweitzer-Straße 21, 48149 Münster",51.961748,7.597153
"Leichtathletikhalle, Horstmarer Landweg 45, 48149 Münster",51.972275,7.59845
"Leo-C 11, Leonardo-Campus 11, 48149 Münster",51.97333,7.60339
"Leo-C Eckhaus, Leonardo-Campus 1, 48149 Münster",51.97618,7.601248
"Leo-C FH-Design, Leonardo-Campus 6, 48149 Münster",51.974392,7.599927
"Leo-C Hörsaal FH/Uni, Leonardo-Campus 10, 48149 Münster",51.97333,7.60339
"Leo-C ITM, Leonardo-Campus 9, 48149 Münster",51.974681,7.603521
"Leo-C Kunstakadamie Galerie, Leonardo-Campus 12, 48149 Münster",51.97333,7.60339
"Leo-C Kunstakademie, Leonardo-Campus 2, 48149 Münster",51.97456,7.60099
"Leo-C Seminar FB04, Leonardo-Campus 18, 48149 Münster",51.975059,7.599591
"Leo-C Sportkultur (ISW), Leonardo-Campus 17, 48149 Münster",51.975061,7.599387
"Leo-C Sportwissenschaft, Leonardo-Campus 15, 48149 Münster",51.974938,7.599193
"Leo-C Wirtschaftsinformatik, Leonardo-Campus 3, 48149 Münster",51.976033,7.601576
"Malmedyweg 17/19, Malmedyweg 17/19, 48149 Münster",51.95768,7.60073
"Manuelle Medizin, Von-Esmarch-Straße 50, 48149 Münster",51.965073,7.593685
"Mathematik Anbau, Orleansring 10, 48149 Münster",51.966914,7.602041
